순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
20,임지열,키움,1루수,38,32,285 2/3,2,0,276,20,17,0.993,0,0,0,-
21,윤석원,키움,투수,37,0,37 1/3,0,0,1,2,0,1.000,0,0,0,-
21,주성원,키움,우익수,37,32,257 1/3,1,0,60,2,0,0.984,0,0,0,-
23,김태진,키움,유격수,34,23,217,6,0,27,58,7,0.934,0,0,0,-
23,전태현,키움,2루수,34,24,213,3,0,44,68,15,0.974,0,0,0,-
25,이준우,키움,투수,31,0,23,0,0,1,4,0,1.000,0,0,0,-
26,송지후,키움,2루수,30,25,212 1/3,2,0,53,74,8,0.984,0,0,0,-
27,김성민,키움,투수,29,0,25,0,1,0,2,0,1.000,0,0,0,-
27,이강준,키움,투수,29,0,24 2/3,2,0,0,5,1,0.714,0,0,0,-
29,푸이그,키움,좌익수,28,28,232,2,0,45,1,0,0.958,0,0,0,-
29,하영민,키움,투수,28,28,153 1/3,0,1,7,20,1,1.000,0,0,0,-
31,송성문,키움,2루수,25,23,188,1,0,54,63,13,0.992,0,0,0,-
32,오선진,키움,3루수,24,9,102 2/3,0,0,7,22,3,1.000,0,0,0,-
33,오선진,키움,2루수,23,9,97 1/3,1,0,27,25,7,0.981,0,0,0,-
34,전준표,키움,투수,21,1,20 1/3,0,0,0,2,0,1.000,0,0,0,-
35,김연주,키움,투수,20,8,51 2/3,1,0,0,6,0,0.857,0,0,0,-
36,김윤하,키움,투수,19,18,88,0,0,4,9,0,1.000,0,0,0,-
36,박수종,키움,중견수,19,6,64,1,0,21,0,0,0.955,0,0,0,-
36,알칸타라,키움,투수,19,19,121,1,0,5,13,0,0.947,0,0,0,-
36,임병욱,키움,우익수,19,11,106 2/3,1,0,19,0,0,0.950,0,0,0,-
40,박주성,키움,투수,18,6,52,1,0,5,8,0,0.929,0,0,0,-
40,양지율,키움,투수,18,0,14,0,0,0,3,0,1.000,0,0,0,-
40,정현우,키움,투수,18,18,81 1/3,1,0,3,14,1,0.944,0,0,0,-
43,여동욱,키움,3루수,17,9,76,3,0,9,13,2,0.880,0,0,0,-
43,윤현,키움,투수,17,3,22,0,0,1,1,0,1.000,0,0,0,-
43,임병욱,키움,중견수,17,10,81,0,0,27,0,0,1.000,0,0,0,-
46,박정훈,키움,투수,16,3,23,0,0,0,4,0,1.000,0,0,0,-
47,박주홍,키움,중견수,14,8,66,1,0,28,1,1,0.967,0,0,0,-
48,로젠버그,키움,투수,13,13,75 1/3,0,0,2,5,0,1.000,0,0,0,-
48,스톤,키움,우익수,13,13,114,1,0,19,2,0,0.955,0,0,0,-
48,전태현,키움,좌익수,13,7,60,0,0,17,0,0,1.000,0,0,0,-
48,전태현,키움,3루수,13,9,80,1,0,5,13,1,0.947,0,0,0,-
52,이형종,키움,좌익수,12,10,80 2/3,0,0,21,0,0,1.000,0,0,0,-
52,이형종,키움,우익수,12,6,63 1/3,0,0,16,1,0,1.000,0,0,0,-
54,임병욱,키움,좌익수,11,7,72 1/3,0,0,18,0,0,1.000,0,0,0,-
55,김동규,키움,투수,9,0,8,0,0,0,0,0,-,0,0,0,-
55,박수종,키움,우익수,9,3,35 2/3,0,0,11,1,1,1.000,0,0,0,-
55,원성준,키움,우익수,9,4,36,0,0,4,0,0,1.000,0,0,0,-
58,메르세데스,키움,투수,8,8,46 1/3,2,0,0,4,0,0.667,0,0,0,-
58,박수종,키움,좌익수,8,0,23 1/3,0,0,11,0,0,1.000,0,0,0,-
58,오선진,키움,1루수,8,1,19,0,0,19,1,1,1.000,0,0,0,-
61,권혁빈,키움,2루수,7,5,32,0,0,7,8,2,1.000,0,0,0,-
61,양현종,키움,3루수,7,2,17,1,0,1,2,0,0.750,0,0,0,-
61,원성준,키움,좌익수,7,5,45,0,0,12,0,0,1.000,0,0,0,-
61,이용규,키움,중견수,7,7,52,1,0,17,0,0,0.944,0,0,0,-
65,고영우,키움,2루수,6,2,32,1,0,8,11,0,0.950,0,0,0,-
65,권혁빈,키움,유격수,6,3,30,0,0,6,4,0,1.000,0,0,0,-
65,장재영,키움,중견수,6,2,24,1,0,10,0,0,0.909,0,0,0,-
65,전태현,키움,유격수,6,2,20,0,0,5,4,1,1.000,0,0,0,-
65,카디네스,키움,1루수,6,6,54,2,0,42,5,1,0.959,0,0,0,-
70,김병휘,키움,2루수,5,2,19 2/3,0,0,4,8,1,1.000,0,0,0,-
70,염승원,키움,2루수,5,4,27,0,0,6,7,1,1.000,0,0,0,-
70,임지열,키움,우익수,5,5,41,0,0,10,1,1,1.000,0,0,0,-
70,주성원,키움,좌익수,5,5,32,1,0,11,1,0,0.923,0,0,0,-
74,강진성,키움,1루수,4,2,19,0,0,17,1,2,1.000,0,0,0,-
74,고영우,키움,3루수,4,2,19,1,0,1,3,0,0.800,0,0,0,-
74,김서준,키움,투수,4,0,5 1/3,0,0,0,1,0,1.000,0,0,0,-
74,김웅빈,키움,1루수,4,3,28,0,0,19,1,1,1.000,0,0,0,-
74,손힘찬,키움,투수,4,0,4,0,0,0,1,0,1.000,0,0,0,-
74,어준서,키움,3루수,4,4,26,3,0,2,1,0,0.500,0,0,0,-
74,웰스,키움,투수,4,4,20,0,0,0,3,0,1.000,0,0,0,-
74,임진묵,키움,투수,4,0,3 2/3,0,0,0,0,0,-,0,0,0,-
74,정세영,키움,투수,4,1,2 2/3,0,0,0,0,0,-,0,0,0,-
83,박주홍,키움,1루수,3,0,5,0,0,2,0,1,1.000,0,0,0,-
83,변상권,키움,좌익수,3,2,15,0,0,5,0,0,1.000,0,0,0,-
83,스톤,키움,좌익수,3,3,26,0,0,6,0,0,1.000,0,0,0,-
83,여동욱,키움,1루수,3,3,21,1,0,20,0,2,0.952,0,0,0,-
83,장재영,키움,좌익수,3,0,5,0,0,0,0,0,-,0,0,0,-
88,권혁빈,키움,중견수,2,1,10,0,0,2,0,0,1.000,0,0,0,-
88,김병휘,키움,유격수,2,0,4,0,0,0,2,0,1.000,0,0,0,-
88,변상권,키움,우익수,2,0,1 2/3,0,0,0,0,0,-,0,0,0,-
88,서유신,키움,2루수,2,2,17,0,0,3,4,0,1.000,0,0,0,-
88,서유신,키움,3루수,2,0,2,0,0,0,0,0,-,0,0,0,-
88,손현기,키움,투수,2,0,3,0,0,0,0,0,-,0,0,0,-
88,송지후,키움,유격수,2,0,3,0,0,1,1,0,1.000,0,0,0,-
88,양현종,키움,1루수,2,2,14,0,0,11,0,0,1.000,0,0,0,-
88,이용규,키움,우익수,2,0,3,0,0,1,0,0,1.000,0,0,0,-
88,이용규,키움,좌익수,2,1,8,0,0,2,0,0,1.000,0,0,0,-
88,이주형,키움,1루수,2,0,2,0,0,1,0,0,1.000,0,0,0,-
88,장재영,키움,우익수,2,1,10,0,0,0,0,0,-,0,0,0,-
88,카디네스,키움,좌익수,2,2,17,0,0,2,0,0,1.000,0,0,0,-
101,고영우,키움,유격수,1,0,1,0,0,0,0,0,-,0,0,0,-
101,권혁빈,키움,좌익수,1,0,2,0,0,2,0,0,1.000,0,0,0,-
101,김태진,키움,3루수,1,0,1,0,0,0,0,0,-,0,0,0,-
101,서유신,키움,유격수,1,0,1,1,0,0,0,0,0.000,0,0,0,-
101,송지후,키움,3루수,1,0,3,0,0,0,1,0,1.000,0,0,0,-
101,원성준,키움,중견수,1,0,2,0,0,0,0,0,-,0,0,0,-
101,이승원,키움,3루수,1,1,5,1,0,0,0,0,0.000,0,0,0,-
101,이원석,키움,1루수,1,0,2,0,0,4,0,1,1.000,0,0,0,-
101,이재상,키움,유격수,1,1,2,1,0,0,0,0,0.000,0,0,0,-
101,이재상,키움,3루수,1,0,2,0,0,0,0,0,-,0,0,0,-
101,임지열,키움,중견수,1,0,3,0,0,1,0,0,1.000,0,0,0,-
1,노시환,한화,3루수,143,143,1262 1/3,17,0,99,218,17,0.949,0,0,0,-
2,최재훈,한화,포수,121,107,813,5,1,856,68,8,0.995,8,58,18,23.7
3,채은성,한화,1루수,113,112,929 2/3,6,0,816,31,59,0.993,0,0,0,-
4,황영묵,한화,2루수,107,61,627 2/3,6,0,118,187,35,0.981,0,0,0,-
5,문현빈,한화,좌익수,105,104,876 1/3,3,0,137,8,0,0.980,0,0,0,-
6,이재원,한화,포수,98,35,409 2/3,6,0,406,33,4,0.987,2,35,8,18.6
7,이진영,한화,우익수,94,81,642 1/3,2,0,127,3,0,0.985,0,0,0,-
8,심우준,한화,유격수,91,81,685,7,0,140,201,40,0.980,0,0,0,-
9,박상원,한화,투수,74,0,66 2/3,1,0,7,9,1,0.941,0,0,0,-
10,김범수,한화,투수,73,0,48,1,0,4,6,2,0.909,0,0,0,-
11,한승혁,한화,투수,71,0,64,0,2,1,10,1,1.000,0,0,0,-
12,김서현,한화,투수,69,0,66,0,0,0,9,0,1.000,0,0,0,-
13,조동욱,한화,투수,68,2,60,0,0,0,10,2,1.000,0,0,0,-
14,이도윤,한화,2루수,64,45,380 2/3,2,0,73,120,21,0.990,0,0,0,-
15,김종수,한화,투수,63,0,63 2/3,0,0,4,5,1,1.000,0,0,0,-
15,플로리얼,한화,중견수,63,62,537 1/3,5,0,133,4,0,0.965,0,0,0,-
17,이원석,한화,우익수,61,24,279 1/3,0,0,50,4,1,1.000,0,0,0,-
17,하주석,한화,유격수,61,48,407 2/3,1,0,59,103,21,0.994,0,0,0,-
19,리베라토,한화,중견수,58,58,479,3,0,125,7,1,0.978,0,0,0,-
20,김태연,한화,1루수,56,26,294,3,0,249,27,21,0.989,0,0,0,-
21,정우주,한화,투수,51,2,53 2/3,0,0,0,1,0,1.000,0,0,0,-
22,주현상,한화,투수,48,0,41 2/3,1,0,2,6,0,0.889,0,0,0,-
23,손아섭,한화,우익수,46,42,314,0,0,68,0,0,1.000,0,0,0,-
24,이도윤,한화,유격수,43,15,195 2/3,2,0,29,56,7,0.977,0,0,0,-
25,이원석,한화,중견수,36,20,216,0,0,55,0,0,1.000,0,0,0,-
26,김태연,한화,우익수,35,23,198 2/3,1,0,49,5,2,0.982,0,0,0,-
27,김태연,한화,좌익수,30,23,178 1/3,1,0,30,1,0,0.969,0,0,0,-
27,와이스,한화,투수,30,30,178 2/3,1,0,3,20,0,0.958,0,0,0,-
29,폰세,한화,투수,29,29,180 2/3,0,0,4,19,1,1.000,0,0,0,-
30,엄상백,한화,투수,28,16,80 2/3,1,1,3,7,0,0.909,0,0,0,-
30,하주석,한화,2루수,28,27,197,1,0,33,51,10,0.988,0,0,0,-
32,류현진,한화,투수,26,26,139 1/3,3,0,1,18,1,0.864,0,0,0,-
33,문동주,한화,투수,24,23,121,1,0,5,11,0,0.941,0,0,0,-
34,황준서,한화,투수,23,12,56,0,0,1,8,1,1.000,0,0,0,-
35,이원석,한화,좌익수,20,2,61 1/3,1,0,17,0,0,0.944,0,0,0,-
35,최인호,한화,좌익수,20,9,95 1/3,0,0,13,0,0,1.000,0,0,0,-
37,허인서,한화,포수,19,2,65,1,0,78,8,1,0.989,1,3,5,62.5
38,이태양,한화,투수,14,0,11 1/3,0,0,0,3,0,1.000,0,0,0,-
39,임종찬,한화,우익수,13,10,86 1/3,1,0,16,0,0,0.941,0,0,0,-
40,손아섭,한화,좌익수,12,8,47,0,0,15,1,1,1.000,0,0,0,-
40,안치홍,한화,2루수,12,11,81,1,0,15,28,5,0.977,0,0,0,-
40,윤산흠,한화,투수,12,1,16 2/3,0,0,0,2,0,1.000,0,0,0,-
43,이상혁,한화,중견수,9,0,14,0,0,4,0,0,1.000,0,0,0,-
43,이상혁,한화,우익수,9,0,19 2/3,0,0,2,0,0,1.000,0,0,0,-
45,이도윤,한화,3루수,7,1,24,0,0,2,0,0,1.000,0,0,0,-
45,이진영,한화,좌익수,7,5,52,0,0,14,1,0,1.000,0,0,0,-
45,최인호,한화,우익수,7,0,16,0,0,3,1,0,1.000,0,0,0,-
48,권광민,한화,1루수,6,1,20 1/3,0,0,17,1,1,1.000,0,0,0,-
48,김인환,한화,1루수,6,4,34 1/3,2,0,30,6,5,0.947,0,0,0,-
48,이상혁,한화,좌익수,6,0,12,0,0,5,0,0,1.000,0,0,0,-
51,권민규,한화,투수,5,0,5 1/3,0,0,0,1,0,1.000,0,0,0,-
51,김기중,한화,투수,5,2,14 2/3,0,0,0,1,0,1.000,0,0,0,-
51,김승일,한화,투수,5,0,2 2/3,0,0,0,0,0,-,0,0,0,-
51,이상규,한화,투수,5,0,9,0,0,1,2,0,1.000,0,0,0,-
55,강재민,한화,투수,4,0,4,0,0,0,1,0,1.000,0,0,0,-
55,문현빈,한화,중견수,4,1,14,0,0,3,1,0,1.000,0,0,0,-
55,유로결,한화,중견수,4,0,13,0,0,2,1,0,1.000,0,0,0,-
55,이도윤,한화,1루수,4,0,5,0,0,7,0,0,1.000,0,0,0,-
59,이진영,한화,중견수,3,2,15,0,0,3,0,0,1.000,0,0,0,-
60,원종혁,한화,투수,2,0,1 2/3,0,0,0,0,0,-,0,0,0,-
60,유로결,한화,우익수,2,1,13,0,0,3,0,0,1.000,0,0,0,-
60,이승현,한화,2루수,2,0,3,0,0,0,0,0,-,0,0,0,-
60,이승현,한화,유격수,2,0,2,0,0,2,0,0,1.000,0,0,0,-
60,최인호,한화,중견수,2,0,2,0,0,0,0,0,-,0,0,0,-
60,플로리얼,한화,좌익수,2,1,11,0,0,3,1,0,1.000,0,0,0,-
66,권광민,한화,우익수,1,1,3,0,0,0,0,0,-,0,0,0,-
66,권광민,한화,좌익수,1,0,1,0,0,0,0,0,-,0,0,0,-
66,문현빈,한화,2루수,1,0,1,0,0,0,1,1,1.000,0,0,0,-
66,문현빈,한화,3루수,1,0,1,0,0,0,0,0,-,0,0,0,-
66,박정현,한화,3루수,1,0,1,0,0,0,0,0,-,0,0,0,-
66,박준영,한화,투수,1,1,5,0,0,0,0,0,-,0,0,0,-
66,안치홍,한화,1루수,1,1,6,0,0,4,0,0,1.000,0,0,0,-
66,유로결,한화,좌익수,1,0,3,0,0,0,0,0,-,0,0,0,-
66,이민재,한화,우익수,1,1,5,0,0,1,0,0,1.000,0,0,0,-
66,장규현,한화,포수,1,0,2 2/3,0,0,3,0,0,1.000,0,0,0,-
66,하주석,한화,3루수,1,0,2,0,0,0,0,0,-,0,0,0,-
66,하주석,한화,1루수,1,0,1,0,0,1,0,1,1.000,0,0,0,-
1,박찬호,KIA,유격수,134,131,1114 1/3,16,0,229,356,84,0.973,0,0,0,-
2,김호령,KIA,중견수,104,94,852 2/3,6,0,218,7,1,0.974,0,0,0,-
3,김태군,KIA,포수,95,79,656 1/3,7,2,554,70,7,0.989,3,62,21,25.3
4,한준수,KIA,포수,93,57,525 1/3,3,0,452,36,5,0.994,5,44,12,21.4
5,위즈덤,KIA,1루수,88,60,552,4,0,536,28,48,0.993,0,0,0,-
6,김규성,KIA,2루수,79,25,301 2/3,4,0,65,97,21,0.976,0,0,0,-
7,오선우,KIA,1루수,77,59,505 1/3,10,0,482,33,43,0.981,0,0,0,-
8,전상현,KIA,투수,74,0,70,2,0,2,8,0,0.833,0,0,0,-
9,김선빈,KIA,2루수,72,68,503 2/3,9,0,96,126,33,0.961,0,0,0,-
9,조상우,KIA,투수,72,0,60,2,2,3,6,0,0.818,0,0,0,-
11,나성범,KIA,우익수,71,69,541 2/3,0,0,99,9,2,1.000,0,0,0,-
12,최지민,KIA,투수,66,0,53 1/3,0,0,0,6,0,1.000,0,0,0,-
13,정해영,KIA,투수,60,0,61 2/3,1,0,3,6,0,0.900,0,0,0,-
14,위즈덤,KIA,3루수,58,54,406,9,0,33,79,5,0.926,0,0,0,-
15,이준영,KIA,투수,57,0,34,1,0,0,2,0,0.667,0,0,0,-
16,오선우,KIA,좌익수,56,37,333,0,0,90,2,1,1.000,0,0,0,-
17,박민,KIA,3루수,45,13,173 1/3,1,0,14,39,4,0.981,0,0,0,-
17,성영탁,KIA,투수,45,0,52 1/3,0,0,1,8,1,1.000,0,0,0,-
19,한재승,KIA,투수,36,0,33 1/3,0,1,0,3,0,1.000,0,0,0,-
20,변우혁,KIA,3루수,34,27,240 2/3,4,0,19,57,2,0.950,0,0,0,-
21,이창진,KIA,좌익수,33,19,186,0,0,44,0,0,1.000,0,0,0,-
22,김규성,KIA,3루수,31,6,109 2/3,2,0,10,17,2,0.931,0,0,0,-
23,양현종,KIA,투수,30,30,153,3,2,7,12,0,0.864,0,0,0,-
24,김석환,KIA,좌익수,29,26,193 2/3,0,0,44,0,0,1.000,0,0,0,-
25,고종욱,KIA,좌익수,28,21,160 1/3,0,0,43,2,0,1.000,0,0,0,-
26,네일,KIA,투수,27,27,164 1/3,0,0,7,24,2,1.000,0,0,0,-
27,김건국,KIA,투수,26,6,46,0,0,3,6,0,1.000,0,0,0,-
27,올러,KIA,투수,26,26,149,1,0,1,7,0,0.889,0,0,0,-
29,김규성,KIA,유격수,25,11,119 1/3,4,0,21,39,5,0.938,0,0,0,-
29,김도영,KIA,3루수,25,25,201,5,0,11,43,4,0.915,0,0,0,-
29,윤도현,KIA,2루수,25,21,175,6,0,31,48,10,0.929,0,0,0,-
32,김기훈,KIA,투수,24,0,27 2/3,0,1,0,2,0,1.000,0,0,0,-
32,김도현,KIA,투수,24,24,125 1/3,1,2,6,23,0,0.967,0,0,0,-
32,김시훈,KIA,투수,24,0,25 2/3,0,0,1,3,0,1.000,0,0,0,-
35,박민,KIA,2루수,22,14,112,2,0,22,47,10,0.972,0,0,0,-
35,박정우,KIA,좌익수,22,2,49 2/3,0,0,11,0,0,1.000,0,0,0,-
37,박재현,KIA,중견수,20,7,81,1,0,14,1,0,0.938,0,0,0,-
38,오선우,KIA,우익수,19,13,102,1,0,20,3,1,0.958,0,0,0,-
39,김현수,KIA,투수,18,0,18 1/3,0,0,2,1,0,1.000,0,0,0,-
39,박정우,KIA,우익수,18,1,46 1/3,0,0,6,0,0,1.000,0,0,0,-
39,박정우,KIA,중견수,18,13,92,0,0,20,0,0,1.000,0,0,0,-
39,변우혁,KIA,1루수,18,6,68 1/3,0,0,54,9,5,1.000,0,0,0,-
39,황동하,KIA,투수,18,3,35 2/3,0,0,1,2,0,1.000,0,0,0,-
44,윤도현,KIA,3루수,17,16,115,2,0,6,19,1,0.926,0,0,0,-
45,박재현,KIA,좌익수,16,1,38,0,0,8,0,0,1.000,0,0,0,-
45,황대인,KIA,1루수,16,15,113,2,0,107,4,10,0.982,0,0,0,-
47,김대유,KIA,투수,15,0,8 1/3,0,0,0,1,0,1.000,0,0,0,-
48,윤영철,KIA,투수,13,13,50,0,0,3,5,0,1.000,0,0,0,-
48,윤중현,KIA,투수,13,0,10 1/3,1,0,0,3,0,0.750,0,0,0,-
48,이호민,KIA,투수,13,0,14 2/3,1,0,0,1,0,0.500,0,0,0,-
51,이형범,KIA,투수,12,0,10,0,0,3,2,0,1.000,0,0,0,-
51,정해원,KIA,우익수,12,7,53 1/3,0,0,16,0,0,1.000,0,0,0,-
51,한승택,KIA,포수,12,5,54,0,0,39,8,0,1.000,0,4,1,20.0
54,김석환,KIA,우익수,10,7,48,0,0,11,0,0,1.000,0,0,0,-
54,이의리,KIA,투수,10,10,39 2/3,0,0,1,6,0,1.000,0,0,0,-
54,임기영,KIA,투수,10,0,9,0,0,0,0,0,-,0,0,0,-
57,곽도규,KIA,투수,9,0,4,0,0,0,0,0,-,0,0,0,-
58,김태형,KIA,투수,8,3,23 2/3,1,0,1,3,0,0.800,0,0,0,-
58,박민,KIA,유격수,8,0,15,0,0,1,9,1,1.000,0,0,0,-
58,박재현,KIA,우익수,8,4,39,2,0,14,0,0,0.875,0,0,0,-
58,정해원,KIA,좌익수,8,4,44,1,0,10,0,0,0.909,0,0,0,-
62,김규성,KIA,1루수,7,2,23,0,0,23,3,0,1.000,0,0,0,-
62,박헌,KIA,우익수,7,3,32,0,0,7,0,0,1.000,0,0,0,-
62,서건창,KIA,2루수,7,4,34,0,0,11,12,4,1.000,0,0,0,-
62,주효상,KIA,포수,7,3,39,1,0,34,3,0,0.974,0,1,1,50.0
66,이도현,KIA,투수,6,2,13,0,0,1,2,0,1.000,0,0,0,-
66,이창진,KIA,우익수,6,4,27,1,0,10,0,0,0.909,0,0,0,-
68,최형우,KIA,좌익수,5,4,29,0,0,4,0,0,1.000,0,0,0,-
69,이성원,KIA,투수,4,0,2 2/3,0,0,0,0,0,-,0,0,0,-
69,정현창,KIA,2루수,4,2,15 2/3,0,0,2,5,1,1.000,0,0,0,-
69,정현창,KIA,유격수,4,1,14,0,0,3,7,2,1.000,0,0,0,-
72,김민주,KIA,투수,3,0,3,0,0,0,1,0,1.000,0,0,0,-
72,장재혁,KIA,투수,3,0,3,0,0,0,0,0,-,0,0,0,-
72,최정용,KIA,2루수,3,2,17,0,0,4,6,1,1.000,0,0,0,-
75,김정엽,KIA,투수,2,0,1,0,0,1,0,0,1.000,0,0,0,-
75,서건창,KIA,1루수,2,2,13,0,0,13,0,1,1.000,0,0,0,-
75,홍원빈,KIA,투수,2,0,1 2/3,0,0,0,0,0,-,0,0,0,-
78,김도영,KIA,유격수,1,0,2,0,0,0,0,0,-,0,0,0,-
78,김민재,KIA,투수,1,0,2,0,0,0,0,0,-,0,0,0,-
78,서건창,KIA,좌익수,1,0,1,0,0,0,0,0,-,0,0,0,-
78,위즈덤,KIA,우익수,1,0,1,0,0,0,0,0,-,0,0,0,-
78,위즈덤,KIA,좌익수,1,0,1,0,0,0,0,0,-,0,0,0,-
78,유승철,KIA,투수,1,0,2,0,0,0,0,0,-,0,0,0,-
78,유지성,KIA,투수,1,0,1,0,0,0,0,0,-,0,0,0,-
78,윤도현,KIA,유격수,1,1,9,1,0,1,2,1,0.750,0,0,0,-
78,정현창,KIA,3루수,1,1,8,0,0,0,0,0,-,0,0,0,-
1,권동진,KT,유격수,119,81,740 1/3,15,0,150,236,40,0.963,0,0,0,-
2,허경민,KT,3루수,113,110,936 1/3,10,0,75,161,10,0.959,0,0,0,-
3,장성우,KT,포수,112,98,836 2/3,5,0,708,43,5,0.993,4,104,11,9.6
4,김상수,KT,2루수,99,90,742 1/3,6,0,167,268,45,0.986,0,0,0,-
5,안현민,KT,우익수,93,84,699 2/3,7,0,149,14,1,0.959,0,0,0,-
6,배정대,KT,중견수,92,64,617 1/3,1,0,156,2,1,0.994,0,0,0,-
7,김민혁,KT,좌익수,90,83,662 2/3,1,0,127,1,0,0.992,0,0,0,-
8,황재균,KT,1루수,79,65,561 2/3,3,0,541,50,38,0.995,0,0,0,-
9,박영현,KT,투수,67,0,69,1,0,3,2,0,0.833,0,0,0,-
10,장준원,KT,유격수,62,47,355,3,0,72,114,26,0.984,0,0,0,-
10,조대현,KT,포수,62,24,246 2/3,7,0,196,10,1,0.967,2,15,2,11.8
12,문상철,KT,1루수,61,45,382,0,0,351,30,31,1.000,0,0,0,-
13,김민수,KT,투수,58,0,52 2/3,0,0,1,4,0,1.000,0,0,0,-
13,손동현,KT,투수,58,0,58 2/3,2,1,6,7,0,0.867,0,0,0,-
15,로하스,KT,우익수,53,49,385,3,0,76,3,1,0.963,0,0,0,-
15,우규민,KT,투수,53,0,44 1/3,0,0,2,7,0,1.000,0,0,0,-
17,원상현,KT,투수,52,0,57,0,0,0,9,0,1.000,0,0,0,-
18,오윤석,KT,2루수,48,21,215 1/3,1,0,48,76,12,0.992,0,0,0,-
19,이상동,KT,투수,41,0,43 1/3,0,0,4,3,0,1.000,0,0,0,-
19,장진혁,KT,좌익수,41,11,159,0,0,37,3,1,1.000,0,0,0,-
21,스티븐슨,KT,중견수,39,39,331 2/3,2,0,73,2,0,0.974,0,0,0,-
22,황재균,KT,3루수,38,31,271 2/3,1,0,23,22,2,0.978,0,0,0,-
23,로하스,KT,좌익수,34,19,170 2/3,1,0,40,1,0,0.976,0,0,0,-
23,오윤석,KT,1루수,34,22,190 1/3,0,0,171,15,16,1.000,0,0,0,-
23,주권,KT,투수,34,0,40 2/3,0,0,1,6,1,1.000,0,0,0,-
26,강현우,KT,포수,32,18,160 1/3,4,0,141,14,0,0.975,0,6,2,25.0
26,헤이수스,KT,투수,32,30,163 2/3,6,0,9,22,2,0.838,0,0,0,-
28,고영표,KT,투수,29,26,161,2,1,10,34,2,0.957,0,0,0,-
29,장진혁,KT,우익수,27,5,77,1,0,19,0,0,0.950,0,0,0,-
30,소형준,KT,투수,26,24,147 1/3,2,0,11,33,2,0.957,0,0,0,-
31,김상수,KT,유격수,25,13,125 2/3,2,0,29,34,6,0.969,0,0,0,-
31,오원석,KT,투수,25,25,132 1/3,1,0,7,26,1,0.971,0,0,0,-
33,이정훈,KT,좌익수,24,17,132,0,0,23,0,0,1.000,0,0,0,-
34,안치영,KT,좌익수,23,9,87 2/3,0,0,22,0,0,1.000,0,0,0,-
35,전용주,KT,투수,21,0,13 2/3,2,0,0,1,0,0.333,0,0,0,-
35,최성민,KT,우익수,21,2,50,0,0,10,0,0,1.000,0,0,0,-
37,문용익,KT,투수,20,2,28 2/3,0,0,2,6,1,1.000,0,0,0,-
37,장진혁,KT,중견수,20,13,109 1/3,0,0,36,1,0,1.000,0,0,0,-
37,최동환,KT,투수,20,0,18 2/3,0,1,0,4,0,1.000,0,0,0,-
40,쿠에바스,KT,투수,18,18,98 1/3,0,0,4,11,0,1.000,0,0,0,-
41,안치영,KT,우익수,17,1,35 1/3,0,0,10,0,0,1.000,0,0,0,-
41,유준규,KT,좌익수,17,4,41 2/3,0,0,8,0,0,1.000,0,0,0,-
43,강민성,KT,2루수,16,6,74 1/3,0,0,20,28,5,1.000,0,0,0,-
44,패트릭,KT,투수,15,9,60 2/3,1,1,8,11,0,0.950,0,0,0,-
45,안현민,KT,중견수,14,12,88 2/3,1,0,18,0,0,0.947,0,0,0,-
46,이호연,KT,1루수,12,9,80,0,0,68,5,3,1.000,0,0,0,-
47,박민석,KT,유격수,11,3,43 1/3,1,0,7,11,7,0.947,0,0,0,-
47,장준원,KT,3루수,11,0,26 1/3,0,0,2,4,1,1.000,0,0,0,-
47,장준원,KT,2루수,11,4,40 1/3,0,0,11,16,4,1.000,0,0,0,-
50,김민혁,KT,중견수,10,7,42,0,0,6,1,0,1.000,0,0,0,-
50,이채호,KT,투수,10,1,11 2/3,0,0,4,0,0,1.000,0,0,0,-
50,임준형,KT,투수,10,0,8 2/3,1,0,0,2,0,0.667,0,0,0,-
