순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
50,최성민,KT,좌익수,10,1,17 1/3,0,0,6,1,0,1.000,0,0,0,-
54,윤준혁,KT,1루수,9,1,23,0,0,19,2,4,1.000,0,0,0,-
55,배제성,KT,투수,8,5,27,0,0,2,5,1,1.000,0,0,0,-
55,유준규,KT,중견수,8,1,25 2/3,0,0,8,1,0,1.000,0,0,0,-
57,최용준,KT,투수,7,0,9,0,0,0,0,0,-,0,0,0,-
58,강민성,KT,3루수,6,0,9,0,0,2,4,1,1.000,0,0,0,-
58,로하스,KT,중견수,6,5,36 1/3,0,0,8,0,0,1.000,0,0,0,-
58,박건우,KT,투수,6,0,6 2/3,0,0,2,0,0,1.000,0,0,0,-
58,이정현,KT,투수,6,0,4 1/3,0,0,0,0,0,-,0,0,0,-
58,이호연,KT,3루수,6,3,28,1,0,3,2,0,0.833,0,0,0,-
63,강백호,KT,포수,5,4,32 2/3,1,0,22,2,1,0.960,0,2,2,50.0
63,박민석,KT,2루수,5,2,12,1,0,4,4,0,0.889,0,0,0,-
63,안치영,KT,중견수,5,2,19,0,0,5,0,0,1.000,0,0,0,-
63,이호연,KT,2루수,5,0,8 2/3,0,0,1,2,1,1.000,0,0,0,-
67,강민성,KT,1루수,4,0,9,0,0,4,0,1,1.000,0,0,0,-
67,강백호,KT,1루수,4,0,10 1/3,0,0,10,1,0,1.000,0,0,0,-
67,권동진,KT,2루수,4,2,24,0,0,4,9,0,1.000,0,0,0,-
67,김재원,KT,투수,4,0,4 1/3,0,0,0,0,0,-,0,0,0,-
67,윤준혁,KT,유격수,4,0,11,0,0,0,4,1,1.000,0,0,0,-
72,김동현,KT,투수,3,0,3 1/3,0,0,0,0,0,-,0,0,0,-
72,김병준,KT,좌익수,3,0,5 1/3,0,0,1,0,0,1.000,0,0,0,-
72,송민섭,KT,우익수,3,0,4,0,0,2,0,0,1.000,0,0,0,-
72,조이현,KT,투수,3,3,11 2/3,0,1,1,1,0,1.000,0,0,0,-
72,최성민,KT,중견수,3,1,5 1/3,1,0,1,0,0,0.500,0,0,0,-
72,황재균,KT,2루수,3,1,11,1,0,2,2,0,0.800,0,0,0,-
78,강건,KT,투수,2,1,3 2/3,0,0,0,1,0,1.000,0,0,0,-
78,김민석,KT,포수,2,0,2,0,0,1,0,0,1.000,0,1,0,0.0
78,김병준,KT,우익수,2,0,4,0,0,1,0,0,1.000,0,0,0,-
78,스티븐슨,KT,우익수,2,0,3,0,0,0,0,0,-,0,0,0,-
78,오서진,KT,유격수,2,0,2,0,0,2,1,1,1.000,0,0,0,-
78,유준규,KT,우익수,2,2,12,0,0,2,0,0,1.000,0,0,0,-
78,윤준혁,KT,3루수,2,0,5,0,0,0,0,0,-,0,0,0,-
78,이정훈,KT,1루수,2,1,9,1,0,8,0,0,0.889,0,0,0,-
78,한차현,KT,투수,2,0,1 2/3,0,0,0,0,0,-,0,0,0,-
87,강백호,KT,투수,1,0,1,0,0,0,0,0,-,0,0,0,-
87,김건형,KT,좌익수,1,0,1,0,0,0,0,0,-,0,0,0,-
87,김민혁,KT,우익수,1,1,8 1/3,1,0,1,0,0,0.500,0,0,0,-
87,김병준,KT,중견수,1,0,3,0,0,0,0,0,-,0,0,0,-
87,박경수,KT,2루수,1,0,2/3,0,0,0,0,0,-,0,0,0,-
87,안현민,KT,좌익수,1,0,1,0,0,0,0,0,-,0,0,0,-
87,오서진,KT,2루수,1,0,1 1/3,1,0,0,0,0,0.000,0,0,0,-
87,오서진,KT,3루수,1,0,1,0,0,0,0,0,-,0,0,0,-
87,오윤석,KT,3루수,1,0,1,0,0,0,0,0,-,0,0,0,-
87,황재균,KT,유격수,1,0,1,0,0,0,1,0,1.000,0,0,0,-
1,박해민,LG,중견수,144,136,1179,1,0,310,6,2,0.997,0,0,0,-
2,박동원,LG,포수,130,102,938 1/3,8,2,784,78,11,0.991,2,67,18,21.2
2,신민재,LG,2루수,130,113,992 2/3,12,0,245,320,87,0.979,0,0,0,-
4,오지환,LG,유격수,123,107,939 1/3,9,0,148,295,67,0.980,0,0,0,-
5,오스틴,LG,1루수,96,94,793,8,0,723,61,66,0.990,0,0,0,-
6,문보경,LG,3루수,95,91,753 2/3,14,0,48,153,13,0.935,0,0,0,-
7,문성주,LG,우익수,80,76,644 1/3,1,0,144,4,0,0.993,0,0,0,-
8,김진성,LG,투수,78,0,70 2/3,0,2,2,9,0,1.000,0,0,0,-
9,김현수,LG,좌익수,76,74,560 2/3,2,0,115,3,0,0.983,0,0,0,-
10,이주헌,LG,포수,69,42,332,4,0,295,16,2,0.987,5,28,3,9.7
11,구본혁,LG,3루수,68,33,328 2/3,2,0,21,72,9,0.979,0,0,0,-
12,김영우,LG,투수,66,0,60,0,0,4,11,2,1.000,0,0,0,-
13,최원영,LG,좌익수,60,8,169 1/3,1,0,41,0,0,0.976,0,0,0,-
14,구본혁,LG,유격수,57,36,315,3,0,57,97,22,0.981,0,0,0,-
15,장현식,LG,투수,56,0,49 2/3,1,0,2,3,0,0.833,0,0,0,-
16,박명근,LG,투수,44,0,38 2/3,0,0,4,7,1,1.000,0,0,0,-
17,이지강,LG,투수,43,1,47 1/3,0,0,4,4,1,1.000,0,0,0,-
18,홍창기,LG,우익수,42,40,329 2/3,0,0,58,2,0,1.000,0,0,0,-
19,유영찬,LG,투수,39,0,41,0,0,1,0,0,1.000,0,0,0,-
19,이정용,LG,투수,39,0,34,0,0,0,2,0,1.000,0,0,0,-
21,문보경,LG,1루수,37,18,190 1/3,2,0,191,10,28,0.990,0,0,0,-
22,구본혁,LG,2루수,35,26,220 2/3,1,0,51,63,16,0.991,0,0,0,-
23,최원영,LG,중견수,34,5,78 1/3,0,0,29,0,0,1.000,0,0,0,-
24,백승현,LG,투수,33,0,30,1,1,3,8,0,0.917,0,0,0,-
25,문성주,LG,좌익수,32,26,226,0,0,57,1,0,1.000,0,0,0,-
26,함덕주,LG,투수,31,0,27,0,0,1,2,0,1.000,0,0,0,-
27,손주영,LG,투수,30,27,153,2,3,5,19,1,0.923,0,0,0,-
27,치리노스,LG,투수,30,30,177,2,1,10,33,1,0.956,0,0,0,-
29,송승기,LG,투수,28,27,144,2,0,8,12,0,0.909,0,0,0,-
30,임찬규,LG,투수,27,27,160 1/3,5,1,6,21,4,0.844,0,0,0,-
30,천성호,LG,2루수,27,18,158 1/3,2,0,36,66,14,0.981,0,0,0,-
30,최원영,LG,우익수,27,7,81,0,0,23,0,0,1.000,0,0,0,-
33,송찬의,LG,우익수,25,17,153,0,0,29,0,0,1.000,0,0,0,-
34,송찬의,LG,좌익수,24,12,123 1/3,0,0,30,2,0,1.000,0,0,0,-
35,이우찬,LG,투수,23,0,19,1,0,2,1,0,0.750,0,0,0,-
36,천성호,LG,1루수,21,10,99,1,0,89,9,9,0.990,0,0,0,-
37,천성호,LG,3루수,20,10,85,1,0,7,9,3,0.941,0,0,0,-
38,박관우,LG,좌익수,17,7,57 1/3,0,0,12,0,0,1.000,0,0,0,-
39,박관우,LG,우익수,15,0,27,1,0,2,0,0,0.667,0,0,0,-
39,이영빈,LG,2루수,15,5,53,0,0,11,24,3,1.000,0,0,0,-
41,배재준,LG,투수,14,0,13,0,0,0,1,0,1.000,0,0,0,-
41,에르난데스,LG,투수,14,14,66,0,0,7,5,1,1.000,0,0,0,-
41,이영빈,LG,1루수,14,2,37,0,0,45,2,4,1.000,0,0,0,-
44,최지명,LG,투수,13,4,29,0,0,1,4,2,1.000,0,0,0,-
45,김강률,LG,투수,12,0,12 1/3,0,0,1,4,0,1.000,0,0,0,-
45,김현수,LG,1루수,12,9,83,2,0,73,9,6,0.976,0,0,0,-
45,성동현,LG,투수,12,0,9,0,0,1,2,0,1.000,0,0,0,-
45,최승민,LG,좌익수,12,0,19 2/3,1,0,5,0,0,0.833,0,0,0,-
49,우강훈,LG,투수,11,0,9 2/3,0,0,0,2,0,1.000,0,0,0,-
49,이영빈,LG,3루수,11,5,50,0,0,2,8,1,1.000,0,0,0,-
51,김현종,LG,좌익수,9,1,14,0,0,1,0,0,1.000,0,0,0,-
51,문정빈,LG,3루수,9,2,26,0,0,0,4,1,1.000,0,0,0,-
51,함창건,LG,좌익수,9,7,56,0,0,17,0,0,1.000,0,0,0,-
54,이영빈,LG,유격수,8,1,18,0,0,1,5,1,1.000,0,0,0,-
54,천성호,LG,좌익수,8,5,29,0,0,6,0,0,1.000,0,0,0,-
54,톨허스트,LG,투수,8,8,44,1,0,3,4,2,0.875,0,0,0,-
57,김정율,LG,1루수,7,2,27,0,0,23,3,3,1.000,0,0,0,-
58,김정율,LG,3루수,6,0,13,0,0,0,4,0,1.000,0,0,0,-
58,김유영,LG,투수,6,0,4 1/3,0,0,0,1,0,1.000,0,0,0,-
58,문정빈,LG,1루수,6,2,18,0,0,18,2,2,1.000,0,0,0,-
58,함창건,LG,우익수,6,0,12,0,0,3,0,0,1.000,0,0,0,-
62,김성우,LG,포수,5,0,9,0,0,8,0,0,1.000,0,0,0,-
62,코엔 윈,LG,투수,5,5,23,0,0,0,6,0,1.000,0,0,0,-
64,구본혁,LG,좌익수,4,2,16,0,0,2,0,0,1.000,0,0,0,-
64,김주성,LG,1루수,4,3,21,0,0,28,2,1,1.000,0,0,0,-
64,김진수,LG,투수,4,0,5,0,0,0,0,0,-,0,0,0,-
64,송찬의,LG,1루수,4,2,16,1,0,17,1,1,0.947,0,0,0,-
64,송찬의,LG,중견수,4,2,15,0,0,2,0,0,1.000,0,0,0,-
64,정우영,LG,투수,4,0,2 2/3,0,0,0,0,0,-,0,0,0,-
70,송찬의,LG,3루수,3,0,6,0,0,0,0,0,-,0,0,0,-
70,천성호,LG,우익수,3,3,17,0,0,1,0,0,1.000,0,0,0,-
72,김종운,LG,투수,2,0,1 2/3,0,0,0,0,0,-,0,0,0,-
72,김주성,LG,2루수,2,0,3,0,0,0,0,0,-,0,0,0,-
72,문정빈,LG,좌익수,2,2,7,0,0,4,0,0,1.000,0,0,0,-
72,문정빈,LG,우익수,2,1,8,0,0,0,0,0,-,0,0,0,-
72,박시원,LG,투수,2,0,1 1/3,0,0,0,0,0,-,0,0,0,-
72,손용준,LG,1루수,2,2,8,0,0,11,1,1,1.000,0,0,0,-
72,손용준,LG,3루수,2,2,13,1,0,1,3,2,0.800,0,0,0,-
72,신민재,LG,중견수,2,1,6,0,0,0,0,0,-,0,0,0,-
72,이영빈,LG,우익수,2,0,2,0,0,0,0,0,-,0,0,0,-
72,이종준,LG,투수,2,0,1 2/3,0,0,0,0,0,-,0,0,0,-
72,최승민,LG,우익수,2,0,2 1/3,0,0,0,0,0,-,0,0,0,-
83,김정율,LG,유격수,1,0,1,0,0,0,0,0,-,0,0,0,-
83,김주성,LG,3루수,1,1,4,1,0,0,2,0,0.667,0,0,0,-
83,김주성,LG,좌익수,1,0,1,0,0,0,0,0,-,0,0,0,-
83,김주온,LG,투수,1,1,1/3,0,0,0,0,0,-,0,0,0,-
83,김현종,LG,우익수,1,0,3,0,0,0,0,0,-,0,0,0,-
83,신민재,LG,유격수,1,0,6,0,0,0,2,0,1.000,0,0,0,-
83,최승민,LG,중견수,1,0,1,0,0,0,0,0,-,0,0,0,-
1,김주원,NC,유격수,140,139,1166,29,0,246,336,79,0.953,0,0,0,-
2,김휘집,NC,3루수,130,119,1005,19,0,106,193,20,0.940,0,0,0,-
3,김형준,NC,포수,123,107,906,4,1,782,78,8,0.995,6,47,26,35.6
4,권희동,NC,좌익수,103,82,669 1/3,1,0,135,7,0,0.993,0,0,0,-
5,박민우,NC,2루수,100,96,766 1/3,10,0,205,259,58,0.979,0,0,0,-
6,데이비슨,NC,1루수,87,87,660 1/3,2,0,572,46,53,0.997,0,0,0,-
7,최원준,NC,중견수,80,71,611 2/3,1,0,158,6,1,0.994,0,0,0,-
8,김진호,NC,투수,76,0,72 1/3,0,2,4,8,0,1.000,0,0,0,-
9,이우성,NC,좌익수,75,66,470 1/3,2,0,120,3,1,0.984,0,0,0,-
10,전사민,NC,투수,74,0,82 1/3,1,0,3,16,1,0.950,0,0,0,-
11,배재환,NC,투수,70,0,60 1/3,0,0,5,7,0,1.000,0,0,0,-
12,박건우,NC,우익수,69,64,458,1,0,83,5,1,0.989,0,0,0,-
13,최원준,NC,우익수,66,29,324 2/3,2,0,62,4,0,0.971,0,0,0,-
14,류진욱,NC,투수,62,0,66,1,0,4,13,3,0.944,0,0,0,-
15,천재환,NC,중견수,60,39,314 2/3,0,0,87,1,0,1.000,0,0,0,-
16,서호철,NC,1루수,55,27,272,1,0,241,7,26,0.996,0,0,0,-
17,천재환,NC,좌익수,53,5,174 1/3,1,0,43,0,0,0.977,0,0,0,-
18,손주환,NC,투수,52,0,51 2/3,1,0,5,0,0,0.833,0,0,0,-
18,천재환,NC,우익수,52,11,202,1,0,29,3,0,0.970,0,0,0,-
20,김영규,NC,투수,45,0,44,2,0,2,7,1,0.818,0,0,0,-
20,최정원,NC,중견수,45,18,210,0,0,52,2,0,1.000,0,0,0,-
22,홍종표,NC,2루수,44,10,164 1/3,2,0,46,50,12,0.980,0,0,0,-
23,박세혁,NC,포수,43,19,185 1/3,3,0,148,12,1,0.982,0,22,2,8.3
24,최성영,NC,투수,35,6,47 2/3,0,0,0,7,0,1.000,0,0,0,-
25,박시원,NC,우익수,34,4,93 1/3,0,0,18,0,0,1.000,0,0,0,-
26,로건,NC,투수,32,31,173,1,0,5,18,0,0.958,0,0,0,-
26,안중열,NC,포수,32,15,145 2/3,2,0,99,11,0,0.982,1,6,1,14.3
28,서호철,NC,2루수,31,23,179,3,0,42,58,10,0.971,0,0,0,-
28,서호철,NC,3루수,31,18,166 1/3,4,0,14,30,4,0.917,0,0,0,-
28,임정호,NC,투수,31,0,18 2/3,1,0,1,3,0,0.800,0,0,0,-
31,라일리,NC,투수,30,30,172,4,1,8,10,0,0.818,0,0,0,-
31,한석현,NC,중견수,30,20,186 2/3,1,0,49,2,0,0.981,0,0,0,-
33,김한별,NC,유격수,28,5,82,2,0,17,29,5,0.958,0,0,0,-
33,신민혁,NC,투수,28,28,132,2,0,6,13,2,0.905,0,0,0,-
35,김한별,NC,3루수,27,3,56 1/3,0,0,7,8,2,1.000,0,0,0,-
35,김한별,NC,2루수,27,7,85 1/3,0,0,10,26,5,1.000,0,0,0,-
37,이준혁,NC,투수,25,3,37,0,0,1,5,2,1.000,0,0,0,-
37,최정원,NC,2루수,25,7,89 1/3,0,0,22,28,5,1.000,0,0,0,-
39,권희동,NC,우익수,23,21,117,0,0,19,1,0,1.000,0,0,0,-
39,도태훈,NC,1루수,23,5,89,0,0,77,8,9,1.000,0,0,0,-
41,김재열,NC,투수,22,0,21 2/3,0,0,1,2,0,1.000,0,0,0,-
41,도태훈,NC,2루수,22,9,93 1/3,1,0,20,38,4,0.983,0,0,0,-
43,김녹원,NC,투수,21,16,70,2,0,1,7,0,0.800,0,0,0,-
43,김휘집,NC,1루수,21,6,74 1/3,0,0,62,5,10,1.000,0,0,0,-
45,김태훈,NC,투수,18,0,19,2,0,2,1,0,0.600,0,0,0,-
45,한석현,NC,우익수,18,3,70 1/3,0,0,20,2,0,1.000,0,0,0,-
47,목지훈,NC,투수,16,15,58,1,1,4,8,2,0.923,0,0,0,-
47,오영수,NC,1루수,16,7,64,1,0,52,3,6,0.982,0,0,0,-
49,이우성,NC,우익수,14,9,91 2/3,0,0,13,0,0,1.000,0,0,0,-
50,최정원,NC,좌익수,13,3,47 1/3,0,0,11,1,1,1.000,0,0,0,-
51,이용찬,NC,투수,12,3,15 1/3,0,0,0,1,0,1.000,0,0,0,-
51,최우석,NC,투수,12,0,14 1/3,0,0,0,1,0,1.000,0,0,0,-
51,한석현,NC,좌익수,12,3,41 2/3,0,0,4,0,0,1.000,0,0,0,-
54,도태훈,NC,3루수,11,2,28,1,0,1,4,0,0.833,0,0,0,-
55,하준영,NC,투수,10,0,5 1/3,1,0,0,1,0,0.500,0,0,0,-
56,이우성,NC,1루수,9,8,63,1,0,53,6,3,0.983,0,0,0,-
57,김정호,NC,포수,8,3,32,0,0,32,2,0,1.000,0,5,1,16.7
57,박시원,NC,중견수,8,6,41,0,0,9,0,0,1.000,0,0,0,-
57,신영우,NC,투수,8,3,14 1/3,0,0,2,2,0,1.000,0,0,0,-
60,김민규,NC,투수,7,0,4 2/3,0,0,0,1,0,1.000,0,0,0,-
60,박건우,NC,중견수,7,7,51,1,0,13,0,0,0.929,0,0,0,-
60,박민우,NC,1루수,7,1,20,0,0,20,0,1,1.000,0,0,0,-
60,소이현,NC,투수,7,0,8,0,0,0,0,0,-,0,0,0,-
60,임지민,NC,투수,7,0,4 2/3,0,0,0,0,0,-,0,0,0,-
60,홍종표,NC,3루수,7,3,29,0,0,4,6,0,1.000,0,0,0,-
66,고승완,NC,중견수,6,1,10 1/3,0,0,8,0,0,1.000,0,0,0,-
66,권희동,NC,중견수,6,4,22,0,0,5,0,0,1.000,0,0,0,-
66,김태경,NC,투수,6,4,11,1,0,0,1,0,0.500,0,0,0,-
66,도태훈,NC,유격수,6,0,21 2/3,1,0,2,9,1,0.917,0,0,0,-
66,조민석,NC,투수,6,2,13,2,0,0,1,0,0.333,0,0,0,-
66,한재환,NC,1루수,6,2,21,0,0,23,1,2,1.000,0,0,0,-
72,김태현,NC,투수,5,0,3,0,0,0,1,0,1.000,0,0,0,-
72,박영빈,NC,중견수,5,0,8,0,0,3,0,0,1.000,0,0,0,-
72,박한결,NC,좌익수,5,3,21,0,0,6,0,0,1.000,0,0,0,-
72,오태양,NC,2루수,5,0,8,1,0,2,4,1,0.857,0,0,0,-
72,오태양,NC,중견수,5,3,25,0,0,6,0,0,1.000,0,0,0,-
77,구창모,NC,투수,4,3,14 1/3,0,0,1,3,0,1.000,0,0,0,-
78,송승환,NC,좌익수,3,1,6,0,0,1,0,0,1.000,0,0,0,-
78,이우성,NC,중견수,3,1,12,0,0,4,0,0,1.000,0,0,0,-
78,한재환,NC,좌익수,3,1,9,0,0,2,0,0,1.000,0,0,0,-
81,고승완,NC,좌익수,2,0,7,0,0,1,0,0,1.000,0,0,0,-
81,박시원,NC,좌익수,2,1,12,0,0,6,0,0,1.000,0,0,0,-
81,안인산,NC,1루수,2,0,2,0,0,2,0,0,1.000,0,0,0,-
81,최원준,NC,좌익수,2,0,4,0,0,0,0,0,-,0,0,0,-
81,홍종표,NC,유격수,2,0,1 1/3,0,0,0,1,0,1.000,0,0,0,-
86,고승완,NC,우익수,1,0,3,0,0,0,0,0,-,0,0,0,-
86,권희동,NC,포수,1,0,1,0,0,1,0,0,1.000,0,0,0,-
86,권희동,NC,1루수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
86,데이비슨,NC,투수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
86,도태훈,NC,투수,1,0,1,0,0,0,0,0,-,0,0,0,-
86,송승환,NC,1루수,1,1,2,0,0,2,0,1,1.000,0,0,0,-
86,임상현,NC,투수,1,0,1,0,0,0,0,0,-,0,0,0,-
86,최원준,NC,1루수,1,0,2,0,0,1,0,0,1.000,0,0,0,-
86,최정원,NC,3루수,1,1,4,1,0,2,1,0,0.750,0,0,0,-
86,최정원,NC,우익수,1,0,4,0,0,1,0,0,1.000,0,0,0,-
86,한재환,NC,3루수,1,0,2 1/3,0,0,0,0,0,-,0,0,0,-
1,최지훈,SSG,중견수,136,128,1136,5,0,249,3,1,0.981,0,0,0,-
2,박성한,SSG,유격수,127,124,1065 1/3,20,0,222,340,90,0.966,0,0,0,-
3,고명준,SSG,1루수,123,120,986,3,0,850,81,91,0.997,0,0,0,-
3,정준재,SSG,2루수,123,102,932 2/3,9,0,214,297,78,0.983,0,0,0,-
5,조형우,SSG,포수,102,80,696 1/3,4,5,659,60,7,0.994,3,56,22,28.2
6,에레디아,SSG,좌익수,86,86,740 2/3,2,0,194,6,0,0.990,0,0,0,-
7,한유섬,SSG,우익수,81,79,642,2,0,122,3,1,0.984,0,0,0,-
8,노경은,SSG,투수,77,0,80,0,0,3,8,0,1.000,0,0,0,-
9,이로운,SSG,투수,75,0,77,0,1,2,13,0,1.000,0,0,0,-
10,이지영,SSG,포수,72,55,482 2/3,3,1,454,32,5,0.994,1,45,10,18.2
11,김민,SSG,투수,70,0,63 2/3,0,0,1,8,1,1.000,0,0,0,-
12,조병현,SSG,투수,69,0,67 1/3,0,0,0,6,1,1.000,0,0,0,-
13,오태곤,SSG,1루수,58,10,178 1/3,0,0,154,10,23,1.000,0,0,0,-
14,박시후,SSG,투수,52,1,52 1/3,3,0,5,13,0,0.857,0,0,0,-
15,최정,SSG,3루수,45,45,371,4,0,25,50,3,0.949,0,0,0,-
16,안상현,SSG,3루수,44,32,298 1/3,4,0,18,44,5,0.939,0,0,0,-
16,한두솔,SSG,투수,44,0,36 1/3,0,1,1,6,0,1.000,0,0,0,-
18,최민준,SSG,투수,40,8,65 2/3,0,0,4,4,0,1.000,0,0,0,-
19,김성현,SSG,3루수,37,17,182,4,0,9,30,1,0.907,0,0,0,-
20,김건우,SSG,투수,35,13,66,2,0,1,5,0,0.750,0,0,0,-
21,전영준,SSG,투수,34,5,52 2/3,0,0,0,9,0,1.000,0,0,0,-
21,최준우,SSG,좌익수,34,22,212,0,0,37,1,0,1.000,0,0,0,-
23,김성욱,SSG,우익수,32,16,164 2/3,0,0,33,0,0,1.000,0,0,0,-
23,김찬형,SSG,3루수,32,20,175 1/3,3,0,18,39,6,0.950,0,0,0,-
23,안상현,SSG,유격수,32,17,170 1/3,3,0,37,42,15,0.963,0,0,0,-
26,앤더슨,SSG,투수,30,30,171 2/3,4,0,11,11,0,0.846,0,0,0,-
27,김광현,SSG,투수,28,28,144,2,0,6,25,3,0.939,0,0,0,-
28,안상현,SSG,2루수,25,22,179 2/3,2,0,33,56,11,0.978,0,0,0,-
28,오태곤,SSG,좌익수,25,14,139,2,0,29,0,0,0.935,0,0,0,-
30,김택형,SSG,투수,24,0,22 2/3,0,0,2,3,1,1.000,0,0,0,-
30,화이트,SSG,투수,24,24,134 2/3,3,0,14,12,0,0.897,0,0,0,-
32,문승원,SSG,투수,23,21,105 1/3,0,1,4,17,0,1.000,0,0,0,-
32,신범수,SSG,포수,23,8,82 1/3,0,0,75,4,0,1.000,0,9,1,10.0
34,송영진,SSG,투수,21,8,63 1/3,2,0,4,6,1,0.833,0,0,0,-
34,오태곤,SSG,우익수,21,10,95 2/3,0,0,14,1,1,1.000,0,0,0,-
36,석정우,SSG,3루수,20,8,78 1/3,2,0,2,7,0,0.818,0,0,0,-
37,채현우,SSG,우익수,19,3,53 1/3,0,0,10,0,0,1.000,0,0,0,-
37,최준우,SSG,우익수,19,11,98 1/3,1,0,22,0,0,0.957,0,0,0,-
39,박기호,SSG,투수,18,1,24,0,0,0,4,1,1.000,0,0,0,-
39,박지환,SSG,3루수,18,17,138 1/3,5,0,12,26,1,0.884,0,0,0,-
41,김성욱,SSG,중견수,17,11,92,0,0,22,1,0,1.000,0,0,0,-
41,김성현,SSG,2루수,17,10,83 1/3,1,0,23,34,7,0.983,0,0,0,-
43,채현우,SSG,좌익수,14,7,66,1,0,13,0,0,0.929,0,0,0,-
43,최상민,SSG,우익수,14,0,23 2/3,0,0,6,0,0,1.000,0,0,0,-
45,최현석,SSG,투수,13,0,17 1/3,0,1,1,2,0,1.000,0,0,0,-
46,오태곤,SSG,중견수,12,5,49,0,0,11,0,0,1.000,0,0,0,-
46,정동윤,SSG,투수,12,0,17 1/3,1,0,1,3,1,0.800,0,0,0,-
48,하재훈,SSG,우익수,11,10,79 1/3,1,0,13,0,0,0.929,0,0,0,-
48,현원회,SSG,1루수,11,9,62,0,0,62,9,6,1.000,0,0,0,-
50,맥브룸,SSG,우익수,10,10,72,0,0,15,0,0,1.000,0,0,0,-
51,김성현,SSG,유격수,9,2,25,0,0,2,10,1,1.000,0,0,0,-
51,박지환,SSG,우익수,9,4,37,0,0,8,0,0,1.000,0,0,0,-
51,석정우,SSG,2루수,9,7,57,2,0,13,17,5,0.938,0,0,0,-
54,김찬형,SSG,유격수,8,1,18 2/3,1,0,3,6,2,0.900,0,0,0,-
55,김성욱,SSG,좌익수,7,4,35,0,0,8,0,0,1.000,0,0,0,-
55,김수윤,SSG,3루수,7,5,35,2,0,4,8,2,0.857,0,0,0,-
55,채현우,SSG,중견수,7,3,25,0,0,8,0,0,1.000,0,0,0,-
58,김찬형,SSG,2루수,6,3,22 2/3,0,0,5,4,0,1.000,0,0,0,-
58,맥브룸,SSG,1루수,6,5,45,0,0,43,5,5,1.000,0,0,0,-
58,이율예,SSG,포수,6,1,22,2,0,13,2,0,0.882,0,0,0,-
58,한유섬,SSG,좌익수,6,6,44,0,0,10,0,0,1.000,0,0,0,-
62,박종훈,SSG,투수,5,5,19,0,0,1,8,1,1.000,0,0,0,-
62,하재훈,SSG,좌익수,5,4,36,0,0,10,0,0,1.000,0,0,0,-
64,최상민,SSG,중견수,3,0,3,0,0,1,0,0,1.000,0,0,0,-
64,홍대인,SSG,2루수,3,0,6,1,0,0,1,0,0.500,0,0,0,-
66,김성민,SSG,투수,2,0,2/3,0,0,0,0,0,-,0,0,0,-
66,김창평,SSG,우익수,2,0,4,0,0,0,0,0,-,0,0,0,-
66,김태윤,SSG,2루수,2,0,2,0,0,0,1,0,1.000,0,0,0,-
66,김태윤,SSG,3루수,2,0,5,0,0,0,2,0,1.000,0,0,0,-
66,류효승,SSG,좌익수,2,1,5,0,0,0,0,0,-,0,0,0,-
66,서진용,SSG,투수,2,0,1 1/3,0,0,0,0,0,-,0,0,0,-
66,임근우,SSG,우익수,2,1,12,0,0,5,0,0,1.000,0,0,0,-
66,최상민,SSG,좌익수,2,0,4,0,0,0,0,0,-,0,0,0,-
66,최준우,SSG,1루수,2,0,10,0,0,7,1,0,1.000,0,0,0,-
75,김창평,SSG,중견수,1,0,2,0,0,0,0,0,-,0,0,0,-
75,김태윤,SSG,유격수,1,0,1,0,0,0,0,0,-,0,0,0,-
75,박지환,SSG,중견수,1,0,2,0,0,0,0,0,-,0,0,0,-
75,석정우,SSG,유격수,1,0,3,0,0,0,2,0,1.000,0,0,0,-
75,신지환,SSG,투수,1,0,1,0,0,0,0,0,-,0,0,0,-
75,이정범,SSG,1루수,1,0,2,0,0,1,0,0,1.000,0,0,0,-
75,정현승,SSG,좌익수,1,0,1 2/3,0,0,0,0,0,-,0,0,0,-
75,정현승,SSG,우익수,1,0,4 2/3,0,0,0,0,0,-,0,0,0,-
75,하재훈,SSG,중견수,1,0,1,0,0,0,0,0,-,0,0,0,-
